Cien Palos A1,343980417,-7652290361
Plaza de Cayzedo A1,345240833,-7653134333
Santa Rosa A1,344723333,-7652975833
Belalcazar A1,344417667,-7652084000
Centro A1,344856833,-7653014833
Piloto,3460135,-76522339
Fray Damian A1,344399833,-7652895167
San nicolas, 3458361,-76525889
Torre de Cali A1,345697833,-7653030667
San pedro,3453887,-76529846
La ermita,3453413,-76531601
